"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"Frio - Advantage",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2025-09-17,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio - Advantage - Vídeo",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-17,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Quente,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-09-17,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Decoração,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,100,Diário,0,Contínuo,2025-09-19,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio Advantage",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Antes e Depois",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[Público AD+][Mulheres 30-55y][F]",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,15,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[Público AD+][Mulheres 30-55y][Interesse][Coffee table + decoração][F]",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,15,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio Advantage - 17",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2025-10-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Alphaville,not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,2025-10-29,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Campinas, Americana, Piracaba, Valinhos",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,12,Diário,0,Contínuo,2025-10-29,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Advogado, Arquiteto e Contador",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-12-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Advogado, Arquiteto e Contador - SP",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,15,Diário,0,Contínuo,2025-12-16,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,SP,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2026-01-12,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"00 [INSTA] Advantage+ com interesses - somente IOS",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,25,Diário,0,Contínuo,2026-01-15,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"00 [AUTO] Mix de publicos quentes + look a like",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-01-15,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Noivas - SP",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2026-01-15,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"00 [INSTA] Viu vídeo Camila e não segue",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-01-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Advantage+ - Página V2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-03-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[TRÁFEGO] BLACK FRIDAY",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-11-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[TRÁFEGO] Venda Black - SDE",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-11-18,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE - BLACK",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-11-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-12-01,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE - V2",not_delivering,"Clique de 7 dias",,,0,0,,20,Diário,0,Contínuo,2021-12-04,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE - V3",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-12-06,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE - V4",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-12-06,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE - V5",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-12-07,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] OSDE - V6",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-12-07,0,0,,,,,0,0,0,,,,,0,0,,
