"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"OFF - AD 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - Reinaldo Base",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,124,1.096774,,300,Diário,9.25,Contínuo,–,–,–,136,68.014706,1,,9.25,0.735294,2,1.470588,4.625,1,9.25,,,0,0,,
2026-08-09,2026-08-13,"05 - Não É Spray, É Máquina",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",5,actions:offsite_conversion.fb_pixel_purchase,10077,1.239158,140.372,300,Diário,701.86,Contínuo,"Na média","Na média","Na média",12487,56.207256,227,,3.091894,1.817891,284,2.274365,2.471338,216,3.249352,,7.786097,0,5464.75,,
2026-08-09,2026-08-13,"05 - Não É Spray, É Máquina",active,"Clique de 7 dias ou visualização de 1 dia",,,227,1.171806,,550,Diário,25.87,Contínuo,–,–,–,266,97.255639,4,,6.4675,1.503759,6,2.255639,4.311667,3,8.623333,,,0,0,,
2026-08-09,2026-08-13,"06 - Reinaldo Base",active,"Clique de 7 dias ou visualização de 1 dia",3,actions:offsite_conversion.fb_pixel_purchase,5644,1.236534,266.28,550,Diário,798.84,Contínuo,"Na média",–,–,6979,114.46339,118,,6.769831,1.690787,152,2.177962,5.255526,109,7.328807,,7.710455,0,6159.42,,
2026-08-09,2026-08-13,"#AD10 - Não vai dizer que ainda usa spray- validado",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"26 - Estático - Cupom MAQUINA10",active,"Clique de 7 dias ou visualização de 1 dia",3,actions:offsite_conversion.fb_pixel_purchase,6313,2.628544,326.5,300,Diário,979.5,Contínuo,"Na média","Na média","Abaixo da média – 35% mais baixos dos anúncios",16594,59.027359,234,,4.185897,1.410148,302,1.819935,3.243377,216,4.534722,,2.109076,0,2065.84,,
2026-08-09,2026-08-13,"OFF - AD02 - Estático - Cupom MAQUINA10",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD001 - Publicação existente - Reinaldo na área gourmet",inactive,"Clique de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD003,inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD004,inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD005 - Camila",inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD005 - Vídeo Reinaldo explicando as maquinas",inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD002 - publicação existente",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD001 - Vídeo Reinaldo",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD006,inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD003 - Vídeo 4529",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD15,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
