"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",Idade,Gênero,"Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",45-54,unknown,active,"Clique de 7 dias ou visualização de 1 dia",,,12,1,,"Usando o orçamento do conjunto de anúncios",0,0.38,Contínuo,12,31.666667,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",55-64,female,active,"Clique de 7 dias ou visualização de 1 dia",24,actions:onsite_conversion.messaging_conversation_started_7d,884,1.204751,2.20458333,"Usando o orçamento do conjunto de anúncios",0,52.91,Contínuo,1065,49.680751,35,,1.511714,3.286385,50,4.694836,1.0582,1,52.91,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",55-64,male,active,"Clique de 7 dias ou visualização de 1 dia",4,actions:onsite_conversion.messaging_conversation_started_7d,195,1.2,2.5275,"Usando o orçamento do conjunto de anúncios",0,10.11,Contínuo,234,43.205128,5,,2.022,2.136752,7,2.991453,1.444286,1,10.11,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",55-64,unknown,active,"Clique de 7 dias ou visualização de 1 dia",,,4,1.25,,"Usando o orçamento do conjunto de anúncios",0,0.3,Contínuo,5,60,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",65+,female,active,"Clique de 7 dias ou visualização de 1 dia",3,actions:onsite_conversion.messaging_conversation_started_7d,205,1.321951,5.07333333,"Usando o orçamento do conjunto de anúncios",0,15.22,Contínuo,271,56.162362,9,,1.691111,3.321033,12,4.428044,1.268333,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",65+,male,active,"Clique de 7 dias ou visualização de 1 dia",,,51,1.196078,,"Usando o orçamento do conjunto de anúncios",0,2.96,Contínuo,61,48.52459,1,,2.96,1.639344,1,1.639344,2.96,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",65+,unknown,active,"Clique de 7 dias ou visualização de 1 dia",,,2,1,,"Usando o orçamento do conjunto de anúncios",0,0.07,Contínuo,2,35,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",18-24,female,active,"Configurações de vários atributos",,,193,1.512953,,"Usando o orçamento do conjunto de anúncios",0,13.79,Contínuo,292,47.226027,1,,13.79,0.342466,3,1.027397,4.596667,1,13.79,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",18-24,male,active,"Configurações de vários atributos",,,411,1.751825,,"Usando o orçamento do conjunto de anúncios",0,29.74,Contínuo,720,41.305556,6,,4.956667,0.833333,6,0.833333,4.956667,4,7.435,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",18-24,unknown,active,"Configurações de vários atributos",,,10,1.6,,"Usando o orçamento do conjunto de anúncios",0,0.33,Contínuo,16,20.625,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",25-34,female,active,"Configurações de vários atributos",4,actions:offsite_conversion.fb_pixel_purchase,3193,1.896023,83.7175,"Usando o orçamento do conjunto de anúncios",0,334.87,Contínuo,6054,55.313842,85,,3.939647,1.40403,134,2.213413,2.49903,76,4.406184,,8.627796,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",25-34,male,active,"Configurações de vários atributos",1,actions:offsite_conversion.fb_pixel_purchase,5780,1.58218,366.12,"Usando o orçamento do conjunto de anúncios",0,366.12,Contínuo,9145,40.034992,108,,3.39,1.180973,166,1.8152,2.205542,100,3.6612,,7.403092,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",25-34,unknown,active,"Configurações de vários atributos",,,32,2.125,,"Usando o orçamento do conjunto de anúncios",0,8.42,Contínuo,68,123.823529,1,,8.42,1.470588,1,1.470588,8.42,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",35-44,female,active,"Configurações de vários atributos",4,actions:offsite_conversion.fb_pixel_purchase,5576,1.881636,221.3175,"Usando o orçamento do conjunto de anúncios",0,885.27,Contínuo,10492,84.375715,190,,4.659316,1.810904,269,2.563858,3.290967,179,4.945642,,10.669739,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",35-44,male,active,"Configurações de vários atributos",5,actions:offsite_conversion.fb_pixel_purchase,10458,1.620578,183.448,"Usando o orçamento do conjunto de anúncios",0,917.24,Contínuo,16948,54.12084,215,,4.266233,1.268586,333,1.964834,2.754474,213,4.306291,,9.11165,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",35-44,unknown,active,"Configurações de vários atributos",,,45,1.466667,,"Usando o orçamento do conjunto de anúncios",0,4.87,Contínuo,66,73.787879,2,,2.435,3.030303,3,4.545455,1.623333,2,2.435,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",45-54,female,active,"Configurações de vários atributos",5,actions:offsite_conversion.fb_pixel_purchase,4309,1.748434,193.006,"Usando o orçamento do conjunto de anúncios",0,965.03,Contínuo,7534,128.089992,196,,4.923622,2.60154,267,3.543934,3.614345,179,5.391229,,9.913951,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",45-54,male,active,"Configurações de vários atributos",1,actions:offsite_conversion.fb_pixel_purchase,6874,1.579139,757.45,"Usando o orçamento do conjunto de anúncios",0,757.45,Contínuo,10855,69.778904,146,,5.188014,1.345002,192,1.76877,3.945052,137,5.528832,,1.428477,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",45-54,unknown,active,"Configurações de vários atributos",,,34,2.647059,,"Usando o orçamento do conjunto de anúncios",0,2.45,Contínuo,90,27.222222,1,,2.45,1.111111,1,1.111111,2.45,1,2.45,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",55-64,female,active,"Configurações de vários atributos",,,1452,1.875344,,"Usando o orçamento do conjunto de anúncios",0,420.82,Contínuo,2723,154.542784,81,,5.195309,2.97466,98,3.598972,4.294082,72,5.844722,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",55-64,male,active,"Configurações de vários atributos",4,actions:offsite_conversion.fb_pixel_purchase,2374,1.699663,120.6625,"Usando o orçamento do conjunto de anúncios",0,482.65,Contínuo,4035,119.615861,84,,5.745833,2.081784,97,2.403965,4.975773,72,6.703472,,12.060665,0,0,,
